STT,漢字,音（漢越）,読み方,意味,
7793,フェア,-,フェア,"công bằng, sòng phẳng",
7794,クール,-,クール,"mát mẻ, lạnh nhạt",
7795,シック,-,シック,"thanh lịch, hợp thời trang",
7796,シビア,-,シビア,nghiêm trọng,
7797,シャープ,-,シャープ,"sắc bén, (âm nhạc) cao độ, bút chì bấm",
7798,ジャスト,-,ジャスト,vừa đúng (đi với số lượng như thời gian | tiền)
7799,ジャンボ,-,ジャンボ,khổng lồ,
7800,ショック,-,ショック,"sốc, cú sốc",
7801,スリム,-,スリム,mảnh mai,
7802,ドライ,-,ドライ,khô,
7807,オーバー,-,オーバー,"áo khoác, vượt quá",
7808,ノーマル,-,ノーマル,bình thường,
7810,ユニーク,-,ユニーク,độc đáo,
7811,クリーン,-,クリーン,"sạch sẽ, thanh khiết",
7812,スムーズ,-,スムーズ,"trôi chảy, trơn tru",
7813,ラッキー,-,ラッキー,"may mắn, hên",
7814,カラフル,-,カラフル,đầy màu sắc,
7816,スペシャル,-,スペシャル,đặc biệt,
7817,エレガント,-,エレガント,"thanh lịch, tao nhã",
7818,オリジナル,-,オリジナル,"nguyên bản, bản chính",
7819,グローバル,-,グローバル,toàn cầu,
7820,コンパクト,-,コンパクト,"kết lại thành khối, gọn nhẹ",
7821,ストレート,-,ストレート,"thẳng, bộc trực, bóng lao thẳng",
7822,タイムリー,-,タイムリー,"đúng lúc, kịp thời",
7823,デラックス,-,デラックス,sang trọng,
7824,デリケート,-,デリケート,"mỏng manh, dễ vỡ, tinh tế",
7825,ナンセンス,-,ナンセンス,vô nghĩa,
7826,アンバランス,-,アンバランス,"không cân bằng, mất cân đối",
7827,ダイナミック,-,ダイナミック,"năng động, sôi động",
7828,プライベート,-,プライベート,riêng tư,
7829,ロマンチック,-,ロマンチック,lãng mạn,
7830,ワンパターン,-,ワンパターン,"có cùng mô típ, không có gì thay đổi",
7831,ハード⇔ソフト,-,ハード⇔ソフト,cứng ⇔ mềm,
7832,ネガティブ⇔ポジティブ,-,ネガティブ⇔ポジティブ,"âm bản, cực âm ⇔ dương bản, cực dương",
7833,ヘビー⇔ライト,-,ヘビー⇔ライト,nặng ⇔ nhẹ,
7834,ポピュラー⇔マイナー,-,ポピュラー⇔マイナー,"phổ biến ⇔ không nổi tiếng, ít được biết",
7835,ケアする,-,ケアする,chăm sóc,
7837,ロスする,-,ロスする,lỗ,
7838,アップする,-,アップする,tăng lên,
7840,キャッチする,-,キャッチする,"nắm bắt, bắt bóng",
7841,タッチする,-,タッチする,"chạm, liên quan",
7842,バックする,-,バックする,lùi lại,
7843,ヒットする,-,ヒットする,"đánh trúng, đánh bóng, cú hít",
7844,フィットする,-,フィットする,vừa vặn,
7845,ダウンする,-,ダウンする,"giảm xuống, đổ quỵ, không hoạt động",
7846,ジャンプする,-,ジャンプする,nhảy qua,
7848,パンクする,-,パンクする,bể bánh xe,
7849,ガイドする,-,ガイドする,hướng dẫn,
7850,ファイルする,-,ファイルする,sắp xếp lưu trữ hồ sơ,
7851,マークする,-,マークする,"đánh dấu, ghi điểm, kèm (thể thao)",
7852,セーブする,-,セーブする,"lưu lại (dữ liệu), giữ, tiết kiệm",
7853,リードする,-,リードする,dẫn dắt,
7855,デビューする,-,デビューする,xuất hiện lần đầu trước công chúng,
7857,オープンする,-,オープンする,"mở cửa, khai trương",
7859,オーダーする,-,オーダーする,đặt hàng,
7860,オーバーする,-,オーバーする,vượt quá,
7861,アピールする,-,アピールする,"kêu gọi, tố cáo, hấp dẫn, lôi cuốn",
7863,ディベートする,-,ディベートする,"tranh luận, bàn cãi",
7864,トレードする,-,トレードする,"thương mại, trao đổi mậu dịch, đổi cầu thủ",
7865,リコールする,-,リコールする,"loại bỏ (ứng viên), thu hồi",
7866,マスターする,-,マスターする,thành thạo,
7867,エンジョイする,-,エンジョイする,tận hưởng,
7868,キャンセルする,-,キャンセルする,hủy bỏ,
7871,ダビングする,-,ダビングする,"lồng tiếng, lồng nhạc, sao chép băng đĩa",
7876,リセットする,-,リセットする,"cài lại, thiết lập lại",
7877,アプローチする,-,アプローチする,"tiếp cận, đến gần",
7879,マッサージする,-,マッサージする,mát-xa,
7880,ゴールインする,-,ゴールインする,"ghi điểm, đạt mục đích (đặc biệt là kết hôn)",
7881,エントリーする,-,エントリーする,"đăng nhập (họ tên), ghi vào danh bạ",
7882,カムバックする,-,カムバックする,"lấy lại (thế mạnh, địa vị)",
7883,インプットする,-,インプットする,nhập vào,
7884,ダイエットする,-,ダイエットする,ăn kiêng,
7886,ボイコットする,-,ボイコットする,tẩy chay,
7890,クローズアップする,-,クローズアップする,"cận cảnh, chụp gần",
7891,コントロールする,-,コントロールする,điều khiển,
